t,2016-01-19,2016-01-20,2016-01-21,2016-01-24,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-31,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-07,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-14,2016-02-15,2016-02-16,2016-02-17,2016-02-18,2016-02-21,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-28,2016-02-29,2016-03-01,2016-03-02,2016-03-03,2016-03-06,2016-03-07,2016-03-08,2016-03-09,2016-03-10,2016-03-21,2016-03-22,2016-03-23,2016-03-24,2016-03-27,2016-03-28,2016-03-29,2016-03-30,2016-03-31,2016-04-03,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-10,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-17
09:00:00,1.03092304236,0.000810750201956,-0.00337901088201,0.996201080778,2.91781473032,2.66958292368,1.06582588493,-0.0992141336103,1.15322966902,1.85277376413,0.201212659903,3.68392911575,3.86960437015,0.387612268917,3.01493869887,1.03795368518,-0.097233843391,-0.0482116520778,1.85268441124,2.06719023769,1.98313574348,0.166736181631,2.18428696691,2.05687751595,2.98121982265,3.70265368681,1.73355563998,0.0836914021683,0.00497952741058,0.0791756436047,2.86925955683,0.140315528451,3.88113867258,0.86055258274,1.98155854812,2.01724148168,1.7825924017,0.986026524025,1.86466603065,4.067862954,100.0,4.82747715617,1.03267909489,2.93509484488,3.03511006683,0.944787095088,3.68617424777,0.00631512830736,-0.0806238986508,1.23522035853,1.09962236166,3.05325452909,2.87035707954,1.88608126102,2.06517093099,2.96566875612,3.69952807344,1.97400749751
09:15:00,0.812008224101,-0.0180530966119,-0.0441752681283,0.981759711215,1.07668759902,0.842937190095,1.88582012895,0.505288527517,1.57781563671,1.27437456703,1.43320539149,0.618772776965,2.24339186049,3.26188344275,1.77567981674,0.824181522665,0.154746684166,0.167127255884,0.225302681251,1.86627331568,0.922929960302,1.58882666232,2.57463061819,1.84078455416,1.94912808032,0.454725679203,0.734388129702,0.685725414363,-0.0153492236455,0.862883325584,1.22842247912,1.9598530652,2.04357286378,0.445477102963,1.96328748314,2.02032205251,6.06210604377,0.98983714099,1.4408242725,2.64640063774,100.0,3.37114977665,0.801949935209,2.14754538092,1.80315911032,1.11522520303,1.83010715124,0.00626708157399,0.338518861212,3.49725649161,1.71150242525,2.85594542952,1.22631868611,1.27800954141,1.8317450643,1.92964041857,1.66145547726,2.19814101942
09:30:00,0.283862982292,-0.0450244454453,-0.0511814165546,1.00530753387,0.057413164514,2.32046221968,2.04755552369,2.10193252475,0.470104914213,2.16823772867,0.65307152404,0.714325280706,1.92113564934,2.26003192742,0.387033945853,0.230872508362,1.37906564563,0.864582684624,0.0710768388542,0.993454016789,0.0313667423105,1.34355532671,1.12210460032,1.05591643285,1.10483811152,0.180260803501,2.39966421961,0.450845404874,-0.0854732488074,0.854834571516,0.894989833079,2.37623531743,1.39462032921,1.42487579579,2.12943093691,1.85098780648,2.51569566888,1.1333825177,2.37032220781,0.546308781516,100.0,3.64005083542,0.244429826579,2.00904746817,0.220107485519,1.83779236009,3.11229757699,-0.0569322482329,1.56390060758,3.40708903937,1.32715887223,2.126091039,0.87870949728,1.80912521158,0.9466098877,1.23692451978,2.62810214671,2.68219956625
09:45:00,1.01717465236,0.092320167801,0.451145333942,1.2872366288,-0.0850318666274,1.97695687468,2.03457193034,0.62997391901,0.519644444304,3.26287993742,1.51663054367,0.943567699847,1.77287343028,0.88710060619,0.942815930116,0.636674563831,3.00059463326,0.854998596082,0.610135959135,0.114096807345,0.247789051676,1.87529373525,0.237533062246,0.725652450849,1.14487088654,1.30546539958,2.04994621286,1.68488320839,-0.101695585725,0.634439689511,0.892141259178,0.38777634865,2.68716570524,0.738451804174,3.03152859681,1.13360340169,2.69637682242,1.65802600402,1.59825680505,0.624951467937,100.0,3.64791100424,1.01382846797,1.69319884865,-0.0967365791001,2.5123655851,2.36993153493,-0.309104959927,1.01657171485,3.63994950035,1.83534383342,1.77169177142,0.860771856551,1.83852024718,0.440605448266,1.93442931289,2.98963257487,1.70469796879
10:00:00,1.7440007468,1.01664866168,2.45016193901,1.9948637374,0.130197567032,1.48259782047,1.8548539732,1.00934352376,-0.285067972392,1.60444059499,1.14898669607,1.1362283002,1.45728640343,0.0478130881549,1.66650115488,1.11151052701,0.653548782977,0.303392105963,0.351840728636,-0.0409740142191,2.19787242746,2.19286018134,1.11069414968,1.31420757849,1.71736626045,0.453937772298,1.00915421656,2.18521661087,0.894413216024,2.23276327251,1.29315806709,1.23043704802,2.72789033621,1.07715031323,3.92681078103,0.982655431455,3.0002083609,1.47130577275,2.36650295461,0.276604964452,100.0,5.0079526006,2.31955729255,0.283122582675,0.26886028975,4.16089829592,3.31721926509,-0.306750669992,0.478576481595,2.80017897932,1.85322071741,1.43983765067,1.41865313462,1.63403450811,1.87847291608,2.69981785319,2.85518978767,0.722155395243
10:15:00,1.02465225457,2.42742727673,2.42177201488,10.423139313,1.0342651932,2.73799297566,1.17066697325,1.86023296236,0.848021021713,1.6102597289,1.50893879026,1.68635834913,2.90432146611,1.7758869205,1.35340570435,4.35855759753,-0.0338031019249,0.824794369148,1.70419224255,0.118097777087,4.02940189198,2.55213560592,2.55603538586,6.02927227761,1.02175522296,1.19462223075,0.101746209257,2.90039131435,4.87823846412,1.33647301836,3.24990897472,6.26241481823,1.45181851406,7.74739846633,3.75722183976,1.17659647221,2.85948091665,2.90049995654,1.93436749633,0.646030859146,99.9999999998,2.85428789967,3.23274305383,-0.0700467559949,1.70049725636,2.68168805944,5.96905565813,3.48468060436,1.56624205787,3.09262357762,1.64451459849,3.06070098642,4.19078213667,3.07830538239,2.41889897856,2.86646006711,2.43759106233,4.14411132592
10:30:00,-0.0205673034616,3.85763563671,2.34025978765,23.9183764352,1.65635906927,2.81777205411,1.09573651942,1.70939862057,9.56164450813,1.65327141668,3.06541867458,1.62572611193,3.47106148134,17.6269087689,2.13383411387,1.96588770494,0.0313199520925,1.0003154809,13.5567843097,0.590908548444,1.91143819287,1.28039913645,2.28106279729,24.9364612252,0.0838061592709,2.55708536105,0.0606380039451,2.9267869122,24.881033306,1.30460389976,4.98268202901,4.53753658171,1.51507116862,35.2841202745,2.19659831283,1.66732478584,1.70440151295,3.55982896057,3.89612772391,0.111941095579,99.9999999978,2.24150317061,9.62893957982,-0.0464004203394,1.89317058751,2.36404948333,7.16814295385,17.6672455458,1.1101307778,8.72033960341,2.94074337692,4.16607758169,6.62905632173,1.71362517699,0.435841162358,4.76954734918,3.39775579942,19.1585512887
10:45:00,-0.517876952103,0.565980598092,-0.0378106653325,35.5954950527,0.683015320617,1.41663501306,1.03711846807,0.481267260546,33.0183253513,4.00381244694,1.19797029472,3.12251636259,1.47137465108,41.3975960939,2.60403387532,1.93599680346,0.279729937812,1.16312184498,37.7572883135,0.196076896161,1.71902315804,1.18357384128,2.43292855182,37.8086663221,-0.288264775072,1.6246714418,0.601283321038,2.35686985426,45.1516662479,2.13146070577,2.21267552972,2.48548107859,1.05558408907,50.7482550855,1.34655834244,0.640773912139,0.370368006582,2.05851362455,2.50238596768,0.592739025855,99.999999995,-0.318694314137,25.0562701603,0.374437896608,1.53690398642,0.680416580829,4.06662681079,43.9961947935,0.278384396754,2.96014758859,1.02827896813,1.68075337532,24.2775517821,2.29923237492,0.11426720855,2.0796704229,3.02069277625,41.5123475523
11:00:00,0.612177318448,-0.765187349777,-0.358473143212,49.3856507628,0.237179379981,0.051561268721,-0.555496518583,1.00627943879,52.7641413341,4.39950544143,0.631950850648,2.08765275586,0.508514363843,50.6155786677,0.0219113418252,2.61250379789,-0.17096067291,1.64322505623,50.5855325401,1.84313593212,0.212816686745,2.2635914242,2.34815684433,65.0541672173,-0.124303017218,-0.0901288589482,0.832755841503,2.01523746832,61.128672736,0.765309227817,0.834267486471,1.16056123198,3.06058137839,58.3595395019,1.34273694247,-0.390370467474,2.64876312485,1.40748518251,3.04246731891,2.88741704628,100.000000014,-0.72962898815,36.7734622867,1.67684870521,2.3900152812,1.46272853194,2.13522334895,57.5543235285,-0.862163107948,1.88547203098,1.78605951826,0.868738489255,36.389781393,2.45811368928,1.28073323463,0.771946519895,4.61385277594,65.3668594984
11:15:00,9.62781903903,0.886676301538,6.11034520819,53.265048636,5.61164347392,6.07318010662,4.39639754093,11.3022031063,80.1619167273,8.53984855251,4.11301459509,13.2068953206,9.47198749731,68.8325253234,5.60503411333,12.9790595585,4.99956121367,1.13941825961,70.7484621412,6.48084980657,6.9632470978,2.68664517627,7.03398635158,78.9945803386,3.4284937464,2.67846070882,3.85129603592,9.15778853952,66.7339257377,2.83980819962,4.61508061177,6.76227917899,19.9614462489,74.8551592708,8.85518570237,3.67883820703,18.6272895292,4.03253862305,5.781837192,11.8675772946,100.000000127,8.29231785634,51.4765418481,10.6008335497,10.8417824358,11.7387587083,6.17838058048,83.462478996,4.97147827349,11.9682615425,10.8102334922,10.1865092923,59.443740208,6.82093208394,2.61912327257,6.02478864286,11.2777588192,89.7599709857
