t,count
2014-12-14 00:00:00,219
2014-12-13 23:45:00,233
2014-12-13 23:30:00,229
2014-12-13 23:15:00,240
2014-12-13 23:00:00,253
2014-12-13 22:45:00,254
2014-12-13 22:30:00,266
2014-12-13 22:15:00,265
2014-12-13 22:00:00,268
2014-12-13 21:45:00,271
2014-12-13 21:30:00,275
2014-12-13 21:15:00,262
2014-12-13 21:00:00,258
2014-12-13 20:45:00,257
2014-12-13 20:30:00,237
2014-12-13 20:15:00,213
2014-12-13 20:00:00,197
2014-12-13 19:45:00,188
2014-12-13 19:30:00,178
2014-12-13 19:15:00,181
2014-12-13 19:00:00,201
2014-12-13 18:45:00,205
2014-12-13 18:30:00,216
2014-12-13 18:15:00,241
2014-12-13 18:00:00,279
2014-12-13 17:45:00,329
2014-12-13 17:30:00,340
2014-12-13 17:15:00,344
2014-12-13 17:00:00,350
2014-12-13 16:45:00,329
2014-12-13 16:30:00,337
2014-12-13 16:15:00,336
2014-12-13 16:00:00,342
2014-12-13 15:45:00,334
2014-12-13 15:30:00,344
2014-12-13 15:15:00,324
2014-12-13 15:00:00,303
2014-12-13 14:45:00,291
2014-12-13 14:30:00,285
2014-12-13 14:15:00,288
2014-12-13 14:00:00,299
2014-12-13 13:45:00,277
2014-12-13 13:30:00,259
2014-12-13 13:15:00,271
2014-12-13 13:00:00,254
2014-12-13 12:45:00,261
2014-12-13 12:30:00,257
2014-12-13 12:15:00,252
2014-12-13 12:00:00,242
2014-12-13 11:45:00,238
2014-12-13 11:30:00,221
2014-12-13 11:15:00,217
2014-12-13 11:00:00,195
2014-12-13 10:45:00,172
2014-12-13 10:30:00,151
2014-12-13 10:15:00,131
2014-12-13 10:00:00,115
2014-12-13 09:45:00,86
2014-12-13 09:30:00,63
2014-12-13 09:15:00,41
2014-12-13 09:00:00,36
2014-12-13 08:45:00,31
2014-12-13 08:30:00,24
2014-12-13 08:15:00,23
2014-12-13 08:00:00,16
2014-12-13 07:45:00,16
2014-12-13 07:30:00,12
2014-12-13 07:15:00,14
2014-12-13 07:00:00,13
2014-12-13 06:45:00,11
2014-12-13 06:30:00,11
2014-12-13 06:15:00,8
2014-12-13 06:00:00,9
2014-12-13 05:45:00,11
2014-12-13 05:30:00,9
2014-12-13 05:15:00,10
2014-12-13 05:00:00,16
2014-12-13 04:45:00,18
2014-12-13 04:30:00,19
2014-12-13 04:15:00,17
2014-12-13 04:00:00,21
2014-12-13 03:45:00,22
2014-12-13 03:30:00,25
2014-12-13 03:15:00,25
2014-12-13 03:00:00,39
2014-12-13 02:45:00,45
2014-12-13 02:30:00,46
2014-12-13 02:15:00,49
2014-12-13 02:00:00,70
2014-12-13 01:45:00,71
2014-12-13 01:30:00,82
2014-12-13 01:15:00,90
2014-12-13 01:00:00,105
2014-12-13 00:45:00,114
2014-12-13 00:30:00,119
2014-12-13 00:15:00,144
2014-12-13 00:00:00,166
2014-12-12 23:45:00,192
2014-12-12 23:30:00,199
2014-12-12 23:15:00,225
2014-12-12 23:00:00,240
2014-12-12 22:45:00,239
2014-12-12 22:30:00,245
2014-12-12 22:15:00,252
2014-12-12 22:00:00,252
2014-12-12 21:45:00,254
2014-12-12 21:30:00,253
2014-12-12 21:15:00,252
2014-12-12 21:00:00,251
2014-12-12 20:45:00,247
2014-12-12 20:30:00,238
2014-12-12 20:15:00,228
2014-12-12 20:00:00,199
2014-12-12 19:45:00,197
2014-12-12 19:30:00,192
2014-12-12 19:15:00,207
2014-12-12 19:00:00,204
2014-12-12 18:45:00,229
2014-12-12 18:30:00,240
2014-12-12 18:15:00,266
2014-12-12 18:00:00,287
2014-12-12 17:45:00,293
2014-12-12 17:30:00,300
2014-12-12 17:15:00,300
2014-12-12 17:00:00,305
2014-12-12 16:45:00,299
2014-12-12 16:30:00,302
2014-12-12 16:15:00,310
2014-12-12 16:00:00,316
2014-12-12 15:45:00,318
2014-12-12 15:30:00,323
2014-12-12 15:15:00,318
2014-12-12 15:00:00,306
2014-12-12 14:45:00,292
2014-12-12 14:30:00,274
2014-12-12 14:15:00,268
2014-12-12 14:00:00,266
2014-12-12 13:45:00,248
2014-12-12 13:30:00,230
2014-12-12 13:15:00,224
2014-12-12 13:00:00,212
2014-12-12 12:45:00,213
