t,count
2014-12-14 00:00:00,1
2014-12-13 23:45:00,4
2014-12-13 23:30:00,8
2014-12-13 23:15:00,27
2014-12-13 23:00:00,70
2014-12-13 22:45:00,80
2014-12-13 22:30:00,82
2014-12-13 22:15:00,89
2014-12-13 22:00:00,101
2014-12-13 21:45:00,101
2014-12-13 21:30:00,103
2014-12-13 21:15:00,96
2014-12-13 21:00:00,101
2014-12-13 20:45:00,89
2014-12-13 20:30:00,95
2014-12-13 20:15:00,95
2014-12-13 20:00:00,95
2014-12-13 19:45:00,103
2014-12-13 19:30:00,105
2014-12-13 19:15:00,94
2014-12-13 19:00:00,107
2014-12-13 18:45:00,112
2014-12-13 18:30:00,108
2014-12-13 18:15:00,111
2014-12-13 18:00:00,114
2014-12-13 17:45:00,119
2014-12-13 17:30:00,108
2014-12-13 17:15:00,112
2014-12-13 17:00:00,106
2014-12-13 16:45:00,111
2014-12-13 16:30:00,109
2014-12-13 16:15:00,121
2014-12-13 16:00:00,121
2014-12-13 15:45:00,116
2014-12-13 15:30:00,111
2014-12-13 15:15:00,112
2014-12-13 15:00:00,115
2014-12-13 14:45:00,106
2014-12-13 14:30:00,105
2014-12-13 14:15:00,97
2014-12-13 14:00:00,104
2014-12-13 13:45:00,100
2014-12-13 13:30:00,91
2014-12-13 13:15:00,92
2014-12-13 13:00:00,95
2014-12-13 12:45:00,95
2014-12-13 12:30:00,95
2014-12-13 12:15:00,91
2014-12-13 12:00:00,77
2014-12-13 11:45:00,74
2014-12-13 11:30:00,74
2014-12-13 11:15:00,47
2014-12-13 11:00:00,21
2014-12-13 10:45:00,13
2014-12-13 10:30:00,13
2014-12-13 10:15:00,10
2014-12-13 10:00:00,2
2014-12-13 09:45:00,5
2014-12-13 09:30:00,4
2014-12-13 09:15:00,4
2014-12-13 09:00:00,1
2014-12-13 08:45:00,1
2014-12-13 08:30:00,1
2014-12-13 08:15:00,1
2014-12-13 08:00:00,1
2014-12-13 07:45:00,1
2014-12-13 07:30:00,1
2014-12-13 07:15:00,1
2014-12-13 07:00:00,1
2014-12-13 06:45:00,1
2014-12-13 06:30:00,1
2014-12-13 06:15:00,1
2014-12-13 06:00:00,1
2014-12-13 05:45:00,1
