t,count
2014-12-14 00:00:00,4
2014-12-13 23:45:00,6
2014-12-13 23:30:00,10
2014-12-13 23:15:00,10
2014-12-13 23:00:00,7
2014-12-13 22:45:00,15
2014-12-13 22:30:00,18
2014-12-13 22:15:00,28
2014-12-13 22:00:00,68
2014-12-13 21:45:00,68
2014-12-13 21:30:00,83
2014-12-13 21:15:00,85
2014-12-13 21:00:00,92
2014-12-13 20:45:00,99
2014-12-13 20:30:00,90
2014-12-13 20:15:00,89
2014-12-13 20:00:00,92
2014-12-13 19:45:00,75
2014-12-13 19:30:00,80
2014-12-13 19:15:00,87
2014-12-13 19:00:00,96
2014-12-13 18:45:00,101
2014-12-13 18:30:00,112
2014-12-13 18:15:00,111
2014-12-13 18:00:00,129
2014-12-13 17:45:00,127
2014-12-13 17:30:00,137
2014-12-13 17:15:00,128
2014-12-13 17:00:00,124
2014-12-13 16:45:00,122
2014-12-13 16:30:00,128
2014-12-13 16:15:00,137
2014-12-13 16:00:00,130
2014-12-13 15:45:00,131
2014-12-13 15:30:00,132
2014-12-13 15:15:00,121
2014-12-13 15:00:00,115
2014-12-13 14:45:00,123
2014-12-13 14:30:00,124
2014-12-13 14:15:00,121
2014-12-13 14:00:00,116
2014-12-13 13:45:00,100
2014-12-13 13:30:00,100
2014-12-13 13:15:00,89
2014-12-13 13:00:00,99
2014-12-13 12:45:00,85
2014-12-13 12:30:00,100
2014-12-13 12:15:00,67
2014-12-13 12:00:00,58
2014-12-13 11:45:00,44
2014-12-13 11:30:00,52
2014-12-13 11:15:00,42
2014-12-13 11:00:00,45
2014-12-13 10:45:00,22
2014-12-13 10:30:00,28
2014-12-13 10:15:00,18
2014-12-13 10:00:00,9
2014-12-13 09:45:00,4
2014-12-13 09:30:00,1
2014-12-13 09:15:00,6
2014-12-13 09:00:00,1
2014-12-13 08:45:00,1
2014-12-13 08:30:00,1
2014-12-13 08:15:00,2
2014-12-13 08:00:00,1
2014-12-13 07:45:00,2
2014-12-13 07:30:00,0
2014-12-13 07:15:00,0
2014-12-13 07:00:00,0
2014-12-13 06:45:00,0
2014-12-13 06:30:00,0
2014-12-13 06:15:00,0
2014-12-13 06:00:00,0
2014-12-13 05:45:00,0
2014-12-13 05:30:00,0
2014-12-13 05:15:00,0
2014-12-13 05:00:00,0
2014-12-13 04:45:00,0
2014-12-13 04:30:00,0
2014-12-13 04:15:00,0
2014-12-13 04:00:00,0
2014-12-13 03:45:00,0
2014-12-13 03:30:00,0
2014-12-13 03:15:00,0
2014-12-13 03:00:00,0
2014-12-13 02:45:00,0
2014-12-13 02:30:00,2
2014-12-13 02:15:00,1
2014-12-13 02:00:00,0
2014-12-13 01:45:00,0
2014-12-13 01:30:00,0
2014-12-13 01:15:00,2
2014-12-13 01:00:00,3
2014-12-13 00:45:00,4
2014-12-13 00:30:00,2
2014-12-13 00:15:00,5
2014-12-13 00:00:00,3
2014-12-12 23:45:00,7
2014-12-12 23:30:00,5
2014-12-12 23:15:00,8
2014-12-12 23:00:00,4
2014-12-12 22:45:00,16
2014-12-12 22:30:00,5
2014-12-12 22:15:00,7
2014-12-12 22:00:00,5
2014-12-12 21:45:00,9
2014-12-12 21:30:00,16
2014-12-12 21:15:00,21
2014-12-12 21:00:00,50
2014-12-12 20:45:00,59
2014-12-12 20:30:00,73
2014-12-12 20:15:00,70
2014-12-12 20:00:00,87
2014-12-12 19:45:00,76
2014-12-12 19:30:00,94
2014-12-12 19:15:00,94
2014-12-12 19:00:00,101
2014-12-12 18:45:00,103
2014-12-12 18:30:00,107
2014-12-12 18:15:00,109
2014-12-12 18:00:00,120
2014-12-12 17:45:00,117
2014-12-12 17:30:00,118
2014-12-12 17:15:00,129
2014-12-12 17:00:00,127
2014-12-12 16:45:00,133
2014-12-12 16:30:00,112
2014-12-12 16:15:00,136
2014-12-12 16:00:00,122
2014-12-12 15:45:00,120
2014-12-12 15:30:00,110
2014-12-12 15:15:00,118
2014-12-12 15:00:00,120
2014-12-12 14:45:00,107
2014-12-12 14:30:00,125
2014-12-12 14:15:00,102
2014-12-12 14:00:00,104
2014-12-12 13:45:00,88
2014-12-12 13:30:00,83
2014-12-12 13:15:00,86
2014-12-12 13:00:00,89
2014-12-12 12:45:00,106
2014-12-12 12:30:00,106
2014-12-12 12:15:00,147
2014-12-12 12:00:00,126
2014-12-12 11:45:00,111
2014-12-12 11:30:00,102
2014-12-12 11:15:00,106
2014-12-12 11:00:00,89
2014-12-12 10:45:00,92
2014-12-12 10:30:00,81
2014-12-12 10:15:00,79
2014-12-12 10:00:00,72
2014-12-12 09:45:00,74
2014-12-12 09:30:00,71
2014-12-12 09:15:00,60
2014-12-12 09:00:00,52
2014-12-12 08:45:00,4
2014-12-12 08:30:00,10
2014-12-12 08:15:00,0
2014-12-12 08:00:00,3
2014-12-12 07:45:00,0
2014-12-12 07:30:00,4
2014-12-12 07:15:00,0
2014-12-12 07:00:00,0
2014-12-12 06:45:00,0
