t,count
2015-12-13 00:00:00,175
2015-12-12 23:45:00,173
2015-12-12 23:30:00,190
2015-12-12 23:15:00,209
2015-12-12 23:00:00,213
2015-12-12 22:45:00,227
2015-12-12 22:30:00,216
2015-12-12 22:15:00,233
2015-12-12 22:00:00,224
2015-12-12 21:45:00,223
2015-12-12 21:30:00,234
2015-12-12 21:15:00,212
2015-12-12 21:00:00,221
2015-12-12 20:45:00,220
2015-12-12 20:30:00,232
2015-12-12 20:15:00,227
2015-12-12 20:00:00,227
2015-12-12 19:45:00,205
2015-12-12 19:30:00,217
2015-12-12 19:15:00,236
2015-12-12 19:00:00,223
2015-12-12 18:45:00,238
2015-12-12 18:30:00,257
2015-12-12 18:15:00,287
2015-12-12 18:00:00,266
2015-12-12 17:45:00,273
2015-12-12 17:30:00,271
2015-12-12 17:15:00,268
2015-12-12 17:00:00,284
2015-12-12 16:45:00,283
2015-12-12 16:30:00,291
2015-12-12 16:15:00,282
2015-12-12 16:00:00,303
2015-12-12 15:45:00,279
2015-12-12 15:30:00,287
2015-12-12 15:15:00,282
2015-12-12 15:00:00,268
2015-12-12 14:45:00,247
2015-12-12 14:30:00,230
2015-12-12 14:15:00,221
2015-12-12 14:00:00,230
2015-12-12 13:45:00,223
2015-12-12 13:30:00,235
2015-12-12 13:15:00,224
2015-12-12 13:00:00,223
2015-12-12 12:45:00,214
2015-12-12 12:30:00,202
2015-12-12 12:15:00,204
2015-12-12 12:00:00,214
2015-12-12 11:45:00,213
2015-12-12 11:30:00,218
2015-12-12 11:15:00,205
2015-12-12 11:00:00,194
2015-12-12 10:45:00,180
2015-12-12 10:30:00,163
2015-12-12 10:15:00,156
2015-12-12 10:00:00,135
2015-12-12 09:45:00,123
2015-12-12 09:30:00,116
2015-12-12 09:15:00,76
2015-12-12 09:00:00,63
2015-12-12 08:45:00,51
2015-12-12 08:30:00,40
2015-12-12 08:15:00,26
2015-12-12 08:00:00,30
2015-12-12 07:45:00,25
2015-12-12 07:30:00,23
2015-12-12 07:15:00,22
2015-12-12 07:00:00,23
2015-12-12 06:45:00,24
2015-12-12 06:30:00,19
2015-12-12 06:15:00,18
2015-12-12 06:00:00,18
2015-12-12 05:45:00,18
2015-12-12 05:30:00,20
2015-12-12 05:15:00,22
2015-12-12 05:00:00,28
2015-12-12 04:45:00,30
2015-12-12 04:30:00,37
2015-12-12 04:15:00,45
2015-12-12 04:00:00,53
2015-12-12 03:45:00,50
2015-12-12 03:30:00,52
2015-12-12 03:15:00,46
2015-12-12 03:00:00,52
2015-12-12 02:45:00,55
2015-12-12 02:30:00,63
2015-12-12 02:15:00,76
2015-12-12 02:00:00,79
2015-12-12 01:45:00,81
2015-12-12 01:30:00,78
2015-12-12 01:15:00,90
2015-12-12 01:00:00,92
2015-12-12 00:45:00,112
2015-12-12 00:30:00,110
2015-12-12 00:15:00,119
2015-12-12 00:00:00,133
2015-12-11 23:45:00,158
2015-12-11 23:30:00,151
2015-12-11 23:15:00,167
2015-12-11 23:00:00,174
2015-12-11 22:45:00,177
2015-12-11 22:30:00,164
2015-12-11 22:15:00,175
2015-12-11 22:00:00,188
2015-12-11 21:45:00,199
2015-12-11 21:30:00,203
2015-12-11 21:15:00,187
2015-12-11 21:00:00,178
2015-12-11 20:45:00,164
2015-12-11 20:30:00,163
2015-12-11 20:15:00,180
2015-12-11 20:00:00,165
2015-12-11 19:45:00,165
2015-12-11 19:30:00,186
2015-12-11 19:15:00,188
2015-12-11 19:00:00,195
2015-12-11 18:45:00,190
2015-12-11 18:30:00,202
2015-12-11 18:15:00,236
2015-12-11 18:00:00,226
2015-12-11 17:45:00,247
2015-12-11 17:30:00,258
2015-12-11 17:15:00,271
2015-12-11 17:00:00,262
2015-12-11 16:45:00,264
2015-12-11 16:30:00,265
2015-12-11 16:15:00,266
2015-12-11 16:00:00,270
2015-12-11 15:45:00,263
2015-12-11 15:30:00,264
2015-12-11 15:15:00,240
2015-12-11 15:00:00,247
2015-12-11 14:45:00,211
2015-12-11 14:30:00,216
2015-12-11 14:15:00,194
2015-12-11 14:00:00,196
2015-12-11 13:45:00,187
2015-12-11 13:30:00,177
2015-12-11 13:15:00,192
2015-12-11 13:00:00,170
2015-12-11 12:45:00,188
2015-12-11 12:30:00,187
2015-12-11 12:15:00,186
2015-12-11 12:00:00,174
2015-12-11 11:45:00,172
2015-12-11 11:30:00,177
2015-12-11 11:15:00,154
2015-12-11 11:00:00,161
2015-12-11 10:45:00,144
2015-12-11 10:30:00,142
2015-12-11 10:15:00,116
2015-12-11 10:00:00,124
2015-12-11 09:45:00,96
2015-12-11 09:30:00,82
2015-12-11 09:15:00,78
2015-12-11 09:00:00,67
2015-12-11 08:45:00,57
2015-12-11 08:30:00,47
2015-12-11 08:15:00,40
2015-12-11 08:00:00,27
2015-12-11 07:45:00,27
2015-12-11 07:30:00,33
2015-12-11 07:15:00,29
2015-12-11 07:00:00,29
2015-12-11 06:45:00,23
2015-12-11 06:30:00,27
2015-12-11 06:15:00,25
2015-12-11 06:00:00,27
2015-12-11 05:45:00,29
2015-12-11 05:30:00,28
2015-12-11 05:15:00,25
2015-12-11 05:00:00,29
2015-12-11 04:45:00,27
2015-12-11 04:30:00,29
2015-12-11 04:15:00,30
2015-12-11 04:00:00,33
2015-12-11 03:45:00,30
2015-12-11 03:30:00,35
2015-12-11 03:15:00,36
2015-12-11 03:00:00,48
2015-12-11 02:45:00,53
2015-12-11 02:30:00,66
2015-12-11 02:15:00,66
2015-12-11 02:00:00,78
2015-12-11 01:45:00,89
2015-12-11 01:30:00,102
2015-12-11 01:15:00,110
2015-12-11 01:00:00,131
2015-12-11 00:45:00,123
2015-12-11 00:30:00,140
2015-12-11 00:15:00,146
2015-12-11 00:00:00,165
2015-12-10 23:45:00,174
2015-12-10 23:30:00,197
2015-12-10 23:15:00,193
2015-12-10 23:00:00,200
2015-12-10 22:45:00,199
2015-12-10 22:30:00,213
2015-12-10 22:15:00,203
2015-12-10 22:00:00,196
2015-12-10 21:45:00,199
2015-12-10 21:30:00,179
2015-12-10 21:15:00,168
2015-12-10 21:00:00,162
2015-12-10 20:45:00,177
2015-12-10 20:30:00,170
2015-12-10 20:15:00,175
2015-12-10 20:00:00,178
2015-12-10 19:45:00,174
2015-12-10 19:30:00,175
2015-12-10 19:15:00,184
2015-12-10 19:00:00,183
2015-12-10 18:45:00,184
2015-12-10 18:30:00,203
2015-12-10 18:15:00,216
2015-12-10 18:00:00,235
2015-12-10 17:45:00,244
2015-12-10 17:30:00,229
2015-12-10 17:15:00,235
2015-12-10 17:00:00,240
2015-12-10 16:45:00,248
2015-12-10 16:30:00,252
2015-12-10 16:15:00,236
2015-12-10 16:00:00,234
2015-12-10 15:45:00,228
2015-12-10 15:30:00,233
2015-12-10 15:15:00,215
2015-12-10 15:00:00,223
2015-12-10 14:45:00,222
2015-12-10 14:30:00,206
2015-12-10 14:15:00,207
2015-12-10 14:00:00,183
2015-12-10 13:45:00,190
2015-12-10 13:30:00,173
2015-12-10 13:15:00,168
2015-12-10 13:00:00,180
2015-12-10 12:45:00,176
2015-12-10 12:30:00,174
2015-12-10 12:15:00,157
2015-12-10 12:00:00,162
2015-12-10 11:45:00,150
2015-12-10 11:30:00,168
2015-12-10 11:15:00,184
2015-12-10 11:00:00,159
2015-12-10 10:45:00,159
2015-12-10 10:30:00,144
2015-12-10 10:15:00,134
2015-12-10 10:00:00,129
2015-12-10 09:45:00,120
2015-12-10 09:30:00,103
2015-12-10 09:15:00,79
2015-12-10 09:00:00,76
2015-12-10 08:45:00,68
2015-12-10 08:30:00,58
2015-12-10 08:15:00,53
2015-12-10 08:00:00,45
2015-12-10 07:45:00,33
2015-12-10 07:30:00,33
2015-12-10 07:15:00,33
2015-12-10 07:00:00,27
2015-12-10 06:45:00,27
2015-12-10 06:30:00,51
2015-12-10 06:15:00,51
2015-12-10 06:00:00,54
2015-12-10 05:45:00,56
2015-12-10 05:30:00,59
2015-12-10 05:15:00,57
2015-12-10 05:00:00,55
2015-12-10 04:45:00,55
2015-12-10 04:30:00,66
2015-12-10 04:15:00,68
2015-12-10 04:00:00,67
2015-12-10 03:45:00,76
2015-12-10 03:30:00,76
2015-12-10 03:15:00,74
2015-12-10 03:00:00,81
2015-12-10 02:45:00,84
2015-12-10 02:30:00,99
2015-12-10 02:15:00,112
2015-12-10 02:00:00,126
2015-12-10 01:45:00,136
2015-12-10 01:30:00,144
2015-12-10 01:15:00,151
2015-12-10 01:00:00,161
2015-12-10 00:45:00,167
2015-12-10 00:30:00,199
2015-12-10 00:15:00,211
2015-12-10 00:00:00,229
2015-12-09 23:45:00,220
2015-12-09 23:30:00,244
2015-12-09 23:15:00,251
2015-12-09 23:00:00,261
2015-12-09 22:45:00,255
2015-12-09 22:30:00,253
2015-12-09 22:15:00,246
2015-12-09 22:00:00,250
2015-12-09 21:45:00,238
2015-12-09 21:30:00,260
2015-12-09 21:15:00,257
2015-12-09 21:00:00,262
2015-12-09 20:45:00,254
2015-12-09 20:30:00,232
2015-12-09 20:15:00,231
2015-12-09 20:00:00,215
2015-12-09 19:45:00,209
2015-12-09 19:30:00,226
2015-12-09 19:15:00,209
2015-12-09 19:00:00,228
2015-12-09 18:45:00,206
2015-12-09 18:30:00,220
2015-12-09 18:15:00,230
2015-12-09 18:00:00,263
2015-12-09 17:45:00,269
2015-12-09 17:30:00,240
2015-12-09 17:15:00,241
2015-12-09 17:00:00,246
2015-12-09 16:45:00,255
2015-12-09 16:30:00,250
2015-12-09 16:15:00,255
2015-12-09 16:00:00,280
2015-12-09 15:45:00,264
2015-12-09 15:30:00,258
2015-12-09 15:15:00,284
2015-12-09 15:00:00,261
2015-12-09 14:45:00,261
2015-12-09 14:30:00,250
2015-12-09 14:15:00,245
2015-12-09 14:00:00,225
2015-12-09 13:45:00,220
2015-12-09 13:30:00,213
2015-12-09 13:15:00,202
2015-12-09 13:00:00,241
2015-12-09 12:45:00,217
2015-12-09 12:30:00,214
2015-12-09 12:15:00,203
2015-12-09 12:00:00,205
2015-12-09 11:45:00,208
2015-12-09 11:30:00,201
2015-12-09 11:15:00,198
2015-12-09 11:00:00,177
2015-12-09 10:45:00,170
2015-12-09 10:30:00,168
2015-12-09 10:15:00,143
2015-12-09 10:00:00,142
2015-12-09 09:45:00,133
2015-12-09 09:30:00,123
2015-12-09 09:15:00,104
2015-12-09 09:00:00,91
2015-12-09 08:45:00,84
2015-12-09 08:30:00,66
2015-12-09 08:15:00,57
2015-12-09 08:00:00,40
2015-12-09 07:45:00,28
2015-12-09 07:30:00,26
2015-12-09 07:15:00,26
2015-12-09 07:00:00,21
2015-12-09 06:45:00,23
2015-12-09 06:30:00,33
2015-12-09 06:15:00,34
2015-12-09 06:00:00,37
2015-12-09 05:45:00,37
2015-12-09 05:30:00,36
2015-12-09 05:15:00,38
2015-12-09 05:00:00,41
2015-12-09 04:45:00,41
2015-12-09 04:30:00,42
2015-12-09 04:15:00,42
2015-12-09 04:00:00,44
2015-12-09 03:45:00,48
2015-12-09 03:30:00,54
2015-12-09 03:15:00,60
2015-12-09 03:00:00,78
2015-12-09 02:45:00,90
2015-12-09 02:30:00,100
2015-12-09 02:15:00,107
2015-12-09 02:00:00,118
2015-12-09 01:45:00,136
2015-12-09 01:30:00,164
2015-12-09 01:15:00,178
2015-12-09 01:00:00,184
2015-12-09 00:45:00,195
2015-12-09 00:30:00,203
2015-12-09 00:15:00,219
2015-12-09 00:00:00,221
2015-12-08 23:45:00,213
2015-12-08 23:30:00,226
2015-12-08 23:15:00,237
2015-12-08 23:00:00,238
2015-12-08 22:45:00,233
2015-12-08 22:30:00,245
2015-12-08 22:15:00,236
2015-12-08 22:00:00,236
2015-12-08 21:45:00,234
2015-12-08 21:30:00,233
2015-12-08 21:15:00,244
