t,count
2014-12-14 00:00:00,306
2014-12-13 23:45:00,300
2014-12-13 23:30:00,339
2014-12-13 23:15:00,346
2014-12-13 23:00:00,359
2014-12-13 22:45:00,381
2014-12-13 22:30:00,373
2014-12-13 22:15:00,369
2014-12-13 22:00:00,369
2014-12-13 21:45:00,372
2014-12-13 21:30:00,372
2014-12-13 21:15:00,348
2014-12-13 21:00:00,361
2014-12-13 20:45:00,341
2014-12-13 20:30:00,342
2014-12-13 20:15:00,320
2014-12-13 20:00:00,319
2014-12-13 19:45:00,304
2014-12-13 19:30:00,312
2014-12-13 19:15:00,303
2014-12-13 19:00:00,312
2014-12-13 18:45:00,310
2014-12-13 18:30:00,328
2014-12-13 18:15:00,334
2014-12-13 18:00:00,345
2014-12-13 17:45:00,369
2014-12-13 17:30:00,383
2014-12-13 17:15:00,382
2014-12-13 17:00:00,380
2014-12-13 16:45:00,406
2014-12-13 16:30:00,384
2014-12-13 16:15:00,392
2014-12-13 16:00:00,384
2014-12-13 15:45:00,374
2014-12-13 15:30:00,381
2014-12-13 15:15:00,368
2014-12-13 15:00:00,367
2014-12-13 14:45:00,349
2014-12-13 14:30:00,342
2014-12-13 14:15:00,325
2014-12-13 14:00:00,310
2014-12-13 13:45:00,295
2014-12-13 13:30:00,283
2014-12-13 13:15:00,297
2014-12-13 13:00:00,294
2014-12-13 12:45:00,303
2014-12-13 12:30:00,301
2014-12-13 12:15:00,309
2014-12-13 12:00:00,312
2014-12-13 11:45:00,320
2014-12-13 11:30:00,296
2014-12-13 11:15:00,301
2014-12-13 11:00:00,279
2014-12-13 10:45:00,282
2014-12-13 10:30:00,244
2014-12-13 10:15:00,226
2014-12-13 10:00:00,223
2014-12-13 09:45:00,178
2014-12-13 09:30:00,162
2014-12-13 09:15:00,95
2014-12-13 09:00:00,87
2014-12-13 08:45:00,43
2014-12-13 08:30:00,34
2014-12-13 08:15:00,27
2014-12-13 08:00:00,21
2014-12-13 07:45:00,26
2014-12-13 07:30:00,26
2014-12-13 07:15:00,25
2014-12-13 07:00:00,26
2014-12-13 06:45:00,26
2014-12-13 06:30:00,26
2014-12-13 06:15:00,24
2014-12-13 06:00:00,27
2014-12-13 05:45:00,26
2014-12-13 05:30:00,29
2014-12-13 05:15:00,37
2014-12-13 05:00:00,36
2014-12-13 04:45:00,40
2014-12-13 04:30:00,36
2014-12-13 04:15:00,38
2014-12-13 04:00:00,54
2014-12-13 03:45:00,62
2014-12-13 03:30:00,76
2014-12-13 03:15:00,84
2014-12-13 03:00:00,95
2014-12-13 02:45:00,98
2014-12-13 02:30:00,108
2014-12-13 02:15:00,117
2014-12-13 02:00:00,138
2014-12-13 01:45:00,146
2014-12-13 01:30:00,141
2014-12-13 01:15:00,148
2014-12-13 01:00:00,178
2014-12-13 00:45:00,199
2014-12-13 00:30:00,224
2014-12-13 00:15:00,255
2014-12-13 00:00:00,269
2014-12-12 23:45:00,294
2014-12-12 23:30:00,304
2014-12-12 23:15:00,327
2014-12-12 23:00:00,329
2014-12-12 22:45:00,324
2014-12-12 22:30:00,312
2014-12-12 22:15:00,335
2014-12-12 22:00:00,319
2014-12-12 21:45:00,325
2014-12-12 21:30:00,321
2014-12-12 21:15:00,328
2014-12-12 21:00:00,316
2014-12-12 20:45:00,304
2014-12-12 20:30:00,293
2014-12-12 20:15:00,287
2014-12-12 20:00:00,272
2014-12-12 19:45:00,285
2014-12-12 19:30:00,260
2014-12-12 19:15:00,254
2014-12-12 19:00:00,248
2014-12-12 18:45:00,273
2014-12-12 18:30:00,290
2014-12-12 18:15:00,314
