t,count
2015-12-13 00:00:00,50
2015-12-12 23:45:00,63
2015-12-12 23:30:00,57
2015-12-12 23:15:00,66
2015-12-12 23:00:00,69
2015-12-12 22:45:00,70
2015-12-12 22:30:00,77
2015-12-12 22:15:00,82
2015-12-12 22:00:00,71
2015-12-12 21:45:00,69
2015-12-12 21:30:00,70
2015-12-12 21:15:00,84
2015-12-12 21:00:00,80
2015-12-12 20:45:00,78
2015-12-12 20:30:00,74
2015-12-12 20:15:00,81
2015-12-12 20:00:00,87
2015-12-12 19:45:00,89
2015-12-12 19:30:00,93
2015-12-12 19:15:00,91
2015-12-12 19:00:00,93
2015-12-12 18:45:00,102
2015-12-12 18:30:00,103
2015-12-12 18:15:00,103
2015-12-12 18:00:00,118
2015-12-12 17:45:00,143
2015-12-12 17:30:00,134
2015-12-12 17:15:00,139
2015-12-12 17:00:00,136
2015-12-12 16:45:00,138
2015-12-12 16:30:00,141
2015-12-12 16:15:00,148
2015-12-12 16:00:00,136
2015-12-12 15:45:00,133
2015-12-12 15:30:00,135
2015-12-12 15:15:00,138
2015-12-12 15:00:00,132
2015-12-12 14:45:00,127
2015-12-12 14:30:00,124
2015-12-12 14:15:00,116
2015-12-12 14:00:00,100
2015-12-12 13:45:00,66
2015-12-12 13:30:00,76
2015-12-12 13:15:00,70
2015-12-12 13:00:00,68
2015-12-12 12:45:00,68
2015-12-12 12:30:00,62
2015-12-12 12:15:00,40
2015-12-12 12:00:00,34
2015-12-12 11:45:00,28
2015-12-12 11:30:00,25
2015-12-12 11:15:00,25
2015-12-12 11:00:00,17
2015-12-12 10:45:00,15
2015-12-12 10:30:00,12
2015-12-12 10:15:00,6
2015-12-12 10:00:00,3
2015-12-12 09:45:00,3
2015-12-12 09:30:00,3
2015-12-12 09:15:00,3
2015-12-12 09:00:00,3
2015-12-12 08:45:00,4
2015-12-12 08:30:00,4
2015-12-12 08:15:00,3
2015-12-12 08:00:00,3
2015-12-12 07:45:00,3
2015-12-12 07:30:00,4
2015-12-12 07:15:00,4
2015-12-12 07:00:00,4
2015-12-12 06:45:00,4
2015-12-12 06:30:00,3
2015-12-12 06:15:00,3
2015-12-12 06:00:00,3
2015-12-12 05:45:00,3
2015-12-12 05:30:00,3
2015-12-12 05:15:00,3
2015-12-12 05:00:00,3
2015-12-12 04:45:00,3
2015-12-12 04:30:00,3
2015-12-12 04:15:00,4
2015-12-12 04:00:00,4
2015-12-12 03:45:00,4
2015-12-12 03:30:00,4
2015-12-12 03:15:00,6
2015-12-12 03:00:00,5
2015-12-12 02:45:00,6
2015-12-12 02:30:00,6
2015-12-12 02:15:00,14
2015-12-12 02:00:00,16
2015-12-12 01:45:00,19
2015-12-12 01:30:00,18
2015-12-12 01:15:00,20
2015-12-12 01:00:00,20
2015-12-12 00:45:00,28
2015-12-12 00:30:00,28
2015-12-12 00:15:00,39
2015-12-12 00:00:00,42
2015-12-11 23:45:00,40
2015-12-11 23:30:00,47
2015-12-11 23:15:00,51
2015-12-11 23:00:00,52
2015-12-11 22:45:00,46
2015-12-11 22:30:00,53
2015-12-11 22:15:00,53
2015-12-11 22:00:00,57
2015-12-11 21:45:00,52
2015-12-11 21:30:00,59
2015-12-11 21:15:00,61
2015-12-11 21:00:00,58
2015-12-11 20:45:00,62
2015-12-11 20:30:00,64
2015-12-11 20:15:00,70
2015-12-11 20:00:00,70
2015-12-11 19:45:00,78
2015-12-11 19:30:00,74
2015-12-11 19:15:00,76
2015-12-11 19:00:00,93
2015-12-11 18:45:00,95
2015-12-11 18:30:00,96
2015-12-11 18:15:00,101
2015-12-11 18:00:00,115
2015-12-11 17:45:00,104
2015-12-11 17:30:00,106
2015-12-11 17:15:00,116
2015-12-11 17:00:00,114
2015-12-11 16:45:00,111
2015-12-11 16:30:00,118
2015-12-11 16:15:00,125
2015-12-11 16:00:00,121
2015-12-11 15:45:00,119
2015-12-11 15:30:00,138
2015-12-11 15:15:00,131
2015-12-11 15:00:00,141
2015-12-11 14:45:00,126
2015-12-11 14:30:00,111
2015-12-11 14:15:00,116
2015-12-11 14:00:00,113
2015-12-11 13:45:00,115
2015-12-11 13:30:00,113
2015-12-11 13:15:00,110
2015-12-11 13:00:00,96
2015-12-11 12:45:00,87
2015-12-11 12:30:00,73
2015-12-11 12:15:00,84
2015-12-11 12:00:00,79
2015-12-11 11:45:00,76
2015-12-11 11:30:00,69
2015-12-11 11:15:00,57
2015-12-11 11:00:00,55
2015-12-11 10:45:00,43
2015-12-11 10:30:00,31
2015-12-11 10:15:00,21
2015-12-11 10:00:00,17
2015-12-11 09:45:00,19
2015-12-11 09:30:00,17
2015-12-11 09:15:00,14
2015-12-11 09:00:00,9
2015-12-11 08:45:00,5
2015-12-11 08:30:00,7
2015-12-11 08:15:00,6
2015-12-11 08:00:00,7
2015-12-11 07:45:00,5
2015-12-11 07:30:00,7
2015-12-11 07:15:00,5
2015-12-11 07:00:00,4
2015-12-11 06:45:00,5
2015-12-11 06:30:00,4
2015-12-11 06:15:00,4
2015-12-11 06:00:00,4
2015-12-11 05:45:00,5
2015-12-11 05:30:00,4
2015-12-11 05:15:00,4
2015-12-11 05:00:00,3
2015-12-11 04:45:00,3
2015-12-11 04:30:00,3
2015-12-11 04:15:00,3
2015-12-11 04:00:00,3
2015-12-11 03:45:00,4
2015-12-11 03:30:00,4
2015-12-11 03:15:00,5
2015-12-11 03:00:00,13
2015-12-11 02:45:00,13
2015-12-11 02:30:00,16
2015-12-11 02:15:00,16
2015-12-11 02:00:00,21
2015-12-11 01:45:00,19
2015-12-11 01:30:00,22
2015-12-11 01:15:00,24
2015-12-11 01:00:00,23
2015-12-11 00:45:00,24
2015-12-11 00:30:00,28
2015-12-11 00:15:00,29
2015-12-11 00:00:00,40
2015-12-10 23:45:00,43
2015-12-10 23:30:00,46
2015-12-10 23:15:00,50
2015-12-10 23:00:00,50
2015-12-10 22:45:00,59
2015-12-10 22:30:00,58
2015-12-10 22:15:00,70
2015-12-10 22:00:00,79
2015-12-10 21:45:00,76
2015-12-10 21:30:00,75
2015-12-10 21:15:00,73
2015-12-10 21:00:00,71
2015-12-10 20:45:00,63
2015-12-10 20:30:00,61
2015-12-10 20:15:00,62
2015-12-10 20:00:00,67
2015-12-10 19:45:00,69
2015-12-10 19:30:00,75
2015-12-10 19:15:00,90
2015-12-10 19:00:00,92
2015-12-10 18:45:00,95
2015-12-10 18:30:00,99
2015-12-10 18:15:00,109
2015-12-10 18:00:00,106
2015-12-10 17:45:00,116
2015-12-10 17:30:00,123
2015-12-10 17:15:00,117
2015-12-10 17:00:00,119
2015-12-10 16:45:00,106
2015-12-10 16:30:00,102
2015-12-10 16:15:00,136
2015-12-10 16:00:00,150
2015-12-10 15:45:00,152
2015-12-10 15:30:00,150
2015-12-10 15:15:00,147
2015-12-10 15:00:00,139
2015-12-10 14:45:00,133
2015-12-10 14:30:00,141
2015-12-10 14:15:00,137
2015-12-10 14:00:00,142
2015-12-10 13:45:00,106
2015-12-10 13:30:00,103
2015-12-10 13:15:00,104
2015-12-10 13:00:00,93
2015-12-10 12:45:00,89
2015-12-10 12:30:00,91
2015-12-10 12:15:00,102
2015-12-10 12:00:00,101
2015-12-10 11:45:00,100
2015-12-10 11:30:00,93
2015-12-10 11:15:00,76
2015-12-10 11:00:00,68
2015-12-10 10:45:00,49
2015-12-10 10:30:00,46
2015-12-10 10:15:00,40
2015-12-10 10:00:00,36
2015-12-10 09:45:00,25
2015-12-10 09:30:00,21
2015-12-10 09:15:00,21
2015-12-10 09:00:00,9
2015-12-10 08:45:00,10
2015-12-10 08:30:00,7
2015-12-10 08:15:00,4
2015-12-10 08:00:00,8
2015-12-10 07:45:00,8
2015-12-10 07:30:00,6
2015-12-10 07:15:00,4
2015-12-10 07:00:00,3
2015-12-10 06:45:00,4
2015-12-10 06:30:00,4
2015-12-10 06:15:00,4
2015-12-10 06:00:00,4
2015-12-10 05:45:00,5
2015-12-10 05:30:00,4
2015-12-10 05:15:00,4
2015-12-10 05:00:00,3
2015-12-10 04:45:00,3
2015-12-10 04:30:00,3
2015-12-10 04:15:00,3
2015-12-10 04:00:00,6
2015-12-10 03:45:00,6
2015-12-10 03:30:00,10
2015-12-10 03:15:00,12
2015-12-10 03:00:00,12
2015-12-10 02:45:00,11
2015-12-10 02:30:00,11
2015-12-10 02:15:00,11
2015-12-10 02:00:00,10
2015-12-10 01:45:00,9
2015-12-10 01:30:00,9
2015-12-10 01:15:00,16
2015-12-10 01:00:00,22
2015-12-10 00:45:00,28
2015-12-10 00:30:00,32
2015-12-10 00:15:00,36
2015-12-10 00:00:00,43
2015-12-09 23:45:00,49
2015-12-09 23:30:00,57
2015-12-09 23:15:00,61
2015-12-09 23:00:00,66
2015-12-09 22:45:00,75
2015-12-09 22:30:00,83
2015-12-09 22:15:00,81
2015-12-09 22:00:00,82
2015-12-09 21:45:00,80
2015-12-09 21:30:00,86
2015-12-09 21:15:00,90
2015-12-09 21:00:00,93
2015-12-09 20:45:00,89
2015-12-09 20:30:00,103
2015-12-09 20:15:00,101
2015-12-09 20:00:00,106
2015-12-09 19:45:00,102
2015-12-09 19:30:00,95
2015-12-09 19:15:00,96
2015-12-09 19:00:00,106
2015-12-09 18:45:00,106
2015-12-09 18:30:00,116
2015-12-09 18:15:00,123
2015-12-09 18:00:00,134
2015-12-09 17:45:00,153
2015-12-09 17:30:00,147
2015-12-09 17:15:00,184
2015-12-09 17:00:00,186
2015-12-09 16:45:00,189
2015-12-09 16:30:00,156
2015-12-09 16:15:00,164
2015-12-09 16:00:00,181
2015-12-09 15:45:00,165
2015-12-09 15:30:00,156
2015-12-09 15:15:00,156
2015-12-09 15:00:00,143
2015-12-09 14:45:00,160
2015-12-09 14:30:00,155
2015-12-09 14:15:00,158
2015-12-09 14:00:00,156
2015-12-09 13:45:00,150
2015-12-09 13:30:00,154
2015-12-09 13:15:00,124
2015-12-09 13:00:00,108
2015-12-09 12:45:00,98
2015-12-09 12:30:00,85
2015-12-09 12:15:00,81
2015-12-09 12:00:00,80
2015-12-09 11:45:00,71
2015-12-09 11:30:00,74
2015-12-09 11:15:00,56
2015-12-09 11:00:00,54
2015-12-09 10:45:00,41
2015-12-09 10:30:00,37
2015-12-09 10:15:00,21
2015-12-09 10:00:00,18
2015-12-09 09:45:00,16
2015-12-09 09:30:00,11
2015-12-09 09:15:00,9
2015-12-09 09:00:00,7
2015-12-09 08:45:00,7
2015-12-09 08:30:00,3
2015-12-09 08:15:00,3
2015-12-09 08:00:00,9
2015-12-09 07:45:00,10
2015-12-09 07:30:00,6
2015-12-09 07:15:00,4
2015-12-09 07:00:00,5
2015-12-09 06:45:00,4
2015-12-09 06:30:00,4
2015-12-09 06:15:00,4
2015-12-09 06:00:00,4
2015-12-09 05:45:00,2
2015-12-09 05:30:00,2
2015-12-09 05:15:00,2
2015-12-09 05:00:00,2
2015-12-09 04:45:00,2
2015-12-09 04:30:00,2
2015-12-09 04:15:00,2
2015-12-09 04:00:00,7
2015-12-09 03:45:00,11
2015-12-09 03:30:00,11
2015-12-09 03:15:00,11
2015-12-09 03:00:00,16
2015-12-09 02:45:00,17
2015-12-09 02:30:00,19
2015-12-09 02:15:00,20
2015-12-09 02:00:00,23
2015-12-09 01:45:00,22
2015-12-09 01:30:00,20
2015-12-09 01:15:00,19
2015-12-09 01:00:00,22
2015-12-09 00:45:00,27
2015-12-09 00:30:00,24
2015-12-09 00:15:00,29
2015-12-09 00:00:00,40
2015-12-08 23:45:00,45
2015-12-08 23:30:00,49
2015-12-08 23:15:00,55
2015-12-08 23:00:00,59
2015-12-08 22:45:00,68
2015-12-08 22:30:00,68
2015-12-08 22:15:00,68
2015-12-08 22:00:00,72
2015-12-08 21:45:00,70
2015-12-08 21:30:00,72
2015-12-08 21:15:00,73
2015-12-08 21:00:00,70
2015-12-08 20:45:00,83
2015-12-08 20:30:00,92
2015-12-08 20:15:00,90
2015-12-08 20:00:00,102
2015-12-08 19:45:00,104
2015-12-08 19:30:00,99
2015-12-08 19:15:00,88
2015-12-08 19:00:00,94
2015-12-08 18:45:00,109
2015-12-08 18:30:00,102
2015-12-08 18:15:00,111
2015-12-08 18:00:00,124
2015-12-08 17:45:00,121
2015-12-08 17:30:00,141
2015-12-08 17:15:00,156
2015-12-08 17:00:00,159
2015-12-08 16:45:00,148
2015-12-08 16:30:00,134
2015-12-08 16:15:00,146
2015-12-08 16:00:00,158
2015-12-08 15:45:00,155
2015-12-08 15:30:00,140
2015-12-08 15:15:00,129
2015-12-08 15:00:00,122
2015-12-08 14:45:00,119
2015-12-08 14:30:00,136
2015-12-08 14:15:00,142
2015-12-08 14:00:00,136
2015-12-08 13:45:00,103
2015-12-08 13:30:00,106
2015-12-08 13:15:00,91
2015-12-08 13:00:00,90
2015-12-08 12:45:00,88
2015-12-08 12:30:00,75
2015-12-08 12:15:00,63
2015-12-08 12:00:00,55
2015-12-08 11:45:00,58
2015-12-08 11:30:00,50
2015-12-08 11:15:00,45
2015-12-08 11:00:00,49
2015-12-08 10:45:00,41
2015-12-08 10:30:00,42
2015-12-08 10:15:00,31
2015-12-08 10:00:00,32
2015-12-08 09:45:00,15
2015-12-08 09:30:00,17
2015-12-08 09:15:00,10
2015-12-08 09:00:00,11
2015-12-08 08:45:00,8
2015-12-08 08:30:00,6
2015-12-08 08:15:00,5
2015-12-08 08:00:00,11
2015-12-08 07:45:00,10
2015-12-08 07:30:00,5
2015-12-08 07:15:00,3
2015-12-08 07:00:00,3
2015-12-08 06:45:00,4
2015-12-08 06:30:00,6
2015-12-08 06:15:00,4
2015-12-08 06:00:00,3
2015-12-08 05:45:00,3
2015-12-08 05:30:00,2
2015-12-08 05:15:00,2
2015-12-08 05:00:00,2
2015-12-08 04:45:00,2
2015-12-08 04:30:00,2
2015-12-08 04:15:00,5
2015-12-08 04:00:00,5
2015-12-08 03:45:00,11
2015-12-08 03:30:00,13
2015-12-08 03:15:00,15
2015-12-08 03:00:00,16
2015-12-08 02:45:00,15
2015-12-08 02:30:00,14
2015-12-08 02:15:00,18
2015-12-08 02:00:00,23
2015-12-08 01:45:00,23
2015-12-08 01:30:00,26
2015-12-08 01:15:00,29
2015-12-08 01:00:00,30
2015-12-08 00:45:00,31
2015-12-08 00:30:00,28
