t,count
2015-05-03 00:00:00,265
2015-05-02 23:45:00,286
2015-05-02 23:30:00,288
2015-05-02 23:15:00,290
2015-05-02 23:00:00,302
2015-05-02 22:45:00,305
2015-05-02 22:30:00,310
2015-05-02 22:15:00,298
2015-05-02 22:00:00,294
2015-05-02 21:45:00,279
2015-05-02 21:30:00,287
2015-05-02 21:15:00,277
2015-05-02 21:00:00,282
2015-05-02 20:45:00,271
2015-05-02 20:30:00,273
2015-05-02 20:15:00,260
2015-05-02 20:00:00,235
2015-05-02 19:45:00,239
2015-05-02 19:30:00,253
2015-05-02 19:15:00,270
2015-05-02 19:00:00,282
2015-05-02 18:45:00,300
2015-05-02 18:30:00,322
2015-05-02 18:15:00,328
2015-05-02 18:00:00,331
2015-05-02 17:45:00,331
2015-05-02 17:30:00,341
2015-05-02 17:15:00,333
2015-05-02 17:00:00,357
2015-05-02 16:45:00,349
2015-05-02 16:30:00,348
2015-05-02 16:15:00,356
2015-05-02 16:00:00,341
2015-05-02 15:45:00,339
2015-05-02 15:30:00,335
2015-05-02 15:15:00,296
2015-05-02 15:00:00,314
2015-05-02 14:45:00,321
2015-05-02 14:30:00,304
2015-05-02 14:15:00,301
2015-05-02 14:00:00,285
2015-05-02 13:45:00,273
2015-05-02 13:30:00,251
2015-05-02 13:15:00,250
2015-05-02 13:00:00,249
2015-05-02 12:45:00,261
2015-05-02 12:30:00,259
2015-05-02 12:15:00,269
2015-05-02 12:00:00,278
2015-05-02 11:45:00,255
2015-05-02 11:30:00,253
2015-05-02 11:15:00,237
2015-05-02 11:00:00,218
2015-05-02 10:45:00,189
2015-05-02 10:30:00,168
2015-05-02 10:15:00,133
2015-05-02 10:00:00,124
2015-05-02 09:45:00,101
2015-05-02 09:30:00,85
2015-05-02 09:15:00,59
2015-05-02 09:00:00,53
2015-05-02 08:45:00,42
2015-05-02 08:30:00,32
2015-05-02 08:15:00,28
2015-05-02 08:00:00,27
2015-05-02 07:45:00,22
2015-05-02 07:30:00,18
2015-05-02 07:15:00,18
2015-05-02 07:00:00,21
2015-05-02 06:45:00,17
2015-05-02 06:30:00,17
2015-05-02 06:15:00,17
2015-05-02 06:00:00,19
2015-05-02 05:45:00,18
2015-05-02 05:30:00,20
2015-05-02 05:15:00,23
2015-05-02 05:00:00,24
2015-05-02 04:45:00,26
2015-05-02 04:30:00,24
2015-05-02 04:15:00,27
2015-05-02 04:00:00,31
2015-05-02 03:45:00,40
2015-05-02 03:30:00,50
2015-05-02 03:15:00,49
2015-05-02 03:00:00,52
2015-05-02 02:45:00,49
2015-05-02 02:30:00,75
2015-05-02 02:15:00,84
2015-05-02 02:00:00,90
2015-05-02 01:45:00,97
2015-05-02 01:30:00,124
2015-05-02 01:15:00,127
2015-05-02 01:00:00,135
2015-05-02 00:45:00,158
2015-05-02 00:30:00,168
2015-05-02 00:15:00,185
2015-05-02 00:00:00,211
2015-05-01 23:45:00,225
2015-05-01 23:30:00,239
2015-05-01 23:15:00,239
2015-05-01 23:00:00,262
2015-05-01 22:45:00,268
2015-05-01 22:30:00,268
2015-05-01 22:15:00,262
2015-05-01 22:00:00,273
2015-05-01 21:45:00,256
2015-05-01 21:30:00,248
2015-05-01 21:15:00,249
2015-05-01 21:00:00,243
2015-05-01 20:45:00,244
2015-05-01 20:30:00,237
2015-05-01 20:15:00,234
2015-05-01 20:00:00,219
2015-05-01 19:45:00,226
2015-05-01 19:30:00,239
2015-05-01 19:15:00,255
2015-05-01 19:00:00,285
2015-05-01 18:45:00,276
2015-05-01 18:30:00,289
2015-05-01 18:15:00,281
2015-05-01 18:00:00,305
2015-05-01 17:45:00,314
2015-05-01 17:30:00,332
2015-05-01 17:15:00,342
2015-05-01 17:00:00,356
2015-05-01 16:45:00,370
2015-05-01 16:30:00,352
2015-05-01 16:15:00,370
2015-05-01 16:00:00,370
2015-05-01 15:45:00,338
2015-05-01 15:30:00,367
2015-05-01 15:15:00,350
2015-05-01 15:00:00,348
2015-05-01 14:45:00,348
2015-05-01 14:30:00,326
2015-05-01 14:15:00,296
2015-05-01 14:00:00,324
2015-05-01 13:45:00,300
2015-05-01 13:30:00,285
2015-05-01 13:15:00,298
2015-05-01 13:00:00,290
2015-05-01 12:45:00,295
2015-05-01 12:30:00,301
2015-05-01 12:15:00,298
2015-05-01 12:00:00,283
2015-05-01 11:45:00,273
2015-05-01 11:30:00,256
2015-05-01 11:15:00,248
2015-05-01 11:00:00,229
2015-05-01 10:45:00,202
2015-05-01 10:30:00,197
2015-05-01 10:15:00,158
2015-05-01 10:00:00,153
2015-05-01 09:45:00,118
