t,count
2015-05-03 00:00:00,143
2015-05-02 23:45:00,155
2015-05-02 23:30:00,173
2015-05-02 23:15:00,189
2015-05-02 23:00:00,198
2015-05-02 22:45:00,222
2015-05-02 22:30:00,221
2015-05-02 22:15:00,219
2015-05-02 22:00:00,220
2015-05-02 21:45:00,216
2015-05-02 21:30:00,215
2015-05-02 21:15:00,200
2015-05-02 21:00:00,215
2015-05-02 20:45:00,223
2015-05-02 20:30:00,228
2015-05-02 20:15:00,226
2015-05-02 20:00:00,201
2015-05-02 19:45:00,207
2015-05-02 19:30:00,218
2015-05-02 19:15:00,226
2015-05-02 19:00:00,230
2015-05-02 18:45:00,251
2015-05-02 18:30:00,282
2015-05-02 18:15:00,291
2015-05-02 18:00:00,301
2015-05-02 17:45:00,296
2015-05-02 17:30:00,290
2015-05-02 17:15:00,300
2015-05-02 17:00:00,310
2015-05-02 16:45:00,315
2015-05-02 16:30:00,304
2015-05-02 16:15:00,315
2015-05-02 16:00:00,307
2015-05-02 15:45:00,318
2015-05-02 15:30:00,310
2015-05-02 15:15:00,306
2015-05-02 15:00:00,324
2015-05-02 14:45:00,284
2015-05-02 14:30:00,291
2015-05-02 14:15:00,276
2015-05-02 14:00:00,254
2015-05-02 13:45:00,230
2015-05-02 13:30:00,221
2015-05-02 13:15:00,199
2015-05-02 13:00:00,172
2015-05-02 12:45:00,157
2015-05-02 12:30:00,156
2015-05-02 12:15:00,147
2015-05-02 12:00:00,134
2015-05-02 11:45:00,123
2015-05-02 11:30:00,116
2015-05-02 11:15:00,101
2015-05-02 11:00:00,65
2015-05-02 10:45:00,45
2015-05-02 10:30:00,24
2015-05-02 10:15:00,22
2015-05-02 10:00:00,3
2015-05-02 09:45:00,4
2015-05-02 09:30:00,5
2015-05-02 09:15:00,8
2015-05-02 09:00:00,4
2015-05-02 08:45:00,7
2015-05-02 08:30:00,4
2015-05-02 08:15:00,3
2015-05-02 08:00:00,3
2015-05-02 07:45:00,3
2015-05-02 07:30:00,4
2015-05-02 07:15:00,3
2015-05-02 07:00:00,2
2015-05-02 06:45:00,2
2015-05-02 06:30:00,2
2015-05-02 06:15:00,2
2015-05-02 06:00:00,3
2015-05-02 05:45:00,2
2015-05-02 05:30:00,2
2015-05-02 05:15:00,2
2015-05-02 05:00:00,2
2015-05-02 04:45:00,2
2015-05-02 04:30:00,3
2015-05-02 04:15:00,4
2015-05-02 04:00:00,20
2015-05-02 03:45:00,25
2015-05-02 03:30:00,26
2015-05-02 03:15:00,27
2015-05-02 03:00:00,28
2015-05-02 02:45:00,35
2015-05-02 02:30:00,39
2015-05-02 02:15:00,46
2015-05-02 02:00:00,51
2015-05-02 01:45:00,54
2015-05-02 01:30:00,62
2015-05-02 01:15:00,70
2015-05-02 01:00:00,72
2015-05-02 00:45:00,71
2015-05-02 00:30:00,67
2015-05-02 00:15:00,91
2015-05-02 00:00:00,101
2015-05-01 23:45:00,112
2015-05-01 23:30:00,132
2015-05-01 23:15:00,151
2015-05-01 23:00:00,151
2015-05-01 22:45:00,163
2015-05-01 22:30:00,157
2015-05-01 22:15:00,162
2015-05-01 22:00:00,168
2015-05-01 21:45:00,165
2015-05-01 21:30:00,162
2015-05-01 21:15:00,167
2015-05-01 21:00:00,185
2015-05-01 20:45:00,191
2015-05-01 20:30:00,194
2015-05-01 20:15:00,197
2015-05-01 20:00:00,206
2015-05-01 19:45:00,225
2015-05-01 19:30:00,233
2015-05-01 19:15:00,249
2015-05-01 19:00:00,272
2015-05-01 18:45:00,271
2015-05-01 18:30:00,268
2015-05-01 18:15:00,277
2015-05-01 18:00:00,288
2015-05-01 17:45:00,278
2015-05-01 17:30:00,285
2015-05-01 17:15:00,293
2015-05-01 17:00:00,294
2015-05-01 16:45:00,302
2015-05-01 16:30:00,299
2015-05-01 16:15:00,299
2015-05-01 16:00:00,310
2015-05-01 15:45:00,310
2015-05-01 15:30:00,294
2015-05-01 15:15:00,261
2015-05-01 15:00:00,269
2015-05-01 14:45:00,259
2015-05-01 14:30:00,244
2015-05-01 14:15:00,248
2015-05-01 14:00:00,237
2015-05-01 13:45:00,242
2015-05-01 13:30:00,229
2015-05-01 13:15:00,231
2015-05-01 13:00:00,261
2015-05-01 12:45:00,272
2015-05-01 12:30:00,287
2015-05-01 12:15:00,301
2015-05-01 12:00:00,294
2015-05-01 11:45:00,290
2015-05-01 11:30:00,250
2015-05-01 11:15:00,228
2015-05-01 11:00:00,206
2015-05-01 10:45:00,167
2015-05-01 10:30:00,152
2015-05-01 10:15:00,133
2015-05-01 10:00:00,127
2015-05-01 09:45:00,91
2015-05-01 09:30:00,81
2015-05-01 09:15:00,37
2015-05-01 09:00:00,18
2015-05-01 08:45:00,12
2015-05-01 08:30:00,10
2015-05-01 08:15:00,8
2015-05-01 08:00:00,6
2015-05-01 07:45:00,6
2015-05-01 07:30:00,6
2015-05-01 07:15:00,7
2015-05-01 07:00:00,5
2015-05-01 06:45:00,5
2015-05-01 06:30:00,3
2015-05-01 06:15:00,3
2015-05-01 06:00:00,6
2015-05-01 05:45:00,6
2015-05-01 05:30:00,5
2015-05-01 05:15:00,4
2015-05-01 05:00:00,4
2015-05-01 04:45:00,5
2015-05-01 04:30:00,5
2015-05-01 04:15:00,8
2015-05-01 04:00:00,28
2015-05-01 03:45:00,33
2015-05-01 03:30:00,42
2015-05-01 03:15:00,50
2015-05-01 03:00:00,58
2015-05-01 02:45:00,59
2015-05-01 02:30:00,66
2015-05-01 02:15:00,79
2015-05-01 02:00:00,90
2015-05-01 01:45:00,107
2015-05-01 01:30:00,110
2015-05-01 01:15:00,112
2015-05-01 01:00:00,135
2015-05-01 00:45:00,154
2015-05-01 00:30:00,165
