t,count
2015-05-03 00:00:00,293
2015-05-02 23:45:00,299
2015-05-02 23:30:00,314
2015-05-02 23:15:00,315
2015-05-02 23:00:00,342
2015-05-02 22:45:00,332
2015-05-02 22:30:00,346
2015-05-02 22:15:00,333
2015-05-02 22:00:00,340
2015-05-02 21:45:00,326
2015-05-02 21:30:00,334
2015-05-02 21:15:00,348
2015-05-02 21:00:00,353
2015-05-02 20:45:00,340
2015-05-02 20:30:00,333
2015-05-02 20:15:00,364
2015-05-02 20:00:00,341
2015-05-02 19:45:00,356
2015-05-02 19:30:00,355
2015-05-02 19:15:00,341
2015-05-02 19:00:00,362
2015-05-02 18:45:00,366
2015-05-02 18:30:00,365
2015-05-02 18:15:00,376
2015-05-02 18:00:00,373
2015-05-02 17:45:00,394
2015-05-02 17:30:00,432
2015-05-02 17:15:00,426
2015-05-02 17:00:00,422
2015-05-02 16:45:00,416
2015-05-02 16:30:00,435
2015-05-02 16:15:00,420
2015-05-02 16:00:00,426
2015-05-02 15:45:00,414
2015-05-02 15:30:00,421
2015-05-02 15:15:00,392
2015-05-02 15:00:00,404
2015-05-02 14:45:00,432
2015-05-02 14:30:00,403
2015-05-02 14:15:00,396
2015-05-02 14:00:00,386
2015-05-02 13:45:00,398
2015-05-02 13:30:00,349
2015-05-02 13:15:00,344
2015-05-02 13:00:00,333
2015-05-02 12:45:00,321
2015-05-02 12:30:00,288
2015-05-02 12:15:00,306
2015-05-02 12:00:00,263
2015-05-02 11:45:00,231
2015-05-02 11:30:00,226
2015-05-02 11:15:00,188
2015-05-02 11:00:00,175
2015-05-02 10:45:00,150
2015-05-02 10:30:00,127
2015-05-02 10:15:00,114
2015-05-02 10:00:00,95
2015-05-02 09:45:00,67
2015-05-02 09:30:00,56
2015-05-02 09:15:00,42
2015-05-02 09:00:00,32
2015-05-02 08:45:00,26
2015-05-02 08:30:00,21
2015-05-02 08:15:00,20
2015-05-02 08:00:00,18
2015-05-02 07:45:00,19
2015-05-02 07:30:00,22
2015-05-02 07:15:00,22
2015-05-02 07:00:00,20
2015-05-02 06:45:00,22
2015-05-02 06:30:00,24
2015-05-02 06:15:00,27
2015-05-02 06:00:00,30
2015-05-02 05:45:00,27
2015-05-02 05:30:00,29
2015-05-02 05:15:00,31
2015-05-02 05:00:00,30
2015-05-02 04:45:00,32
2015-05-02 04:30:00,37
2015-05-02 04:15:00,37
2015-05-02 04:00:00,42
2015-05-02 03:45:00,47
2015-05-02 03:30:00,53
2015-05-02 03:15:00,62
2015-05-02 03:00:00,75
2015-05-02 02:45:00,83
2015-05-02 02:30:00,94
2015-05-02 02:15:00,94
2015-05-02 02:00:00,101
2015-05-02 01:45:00,126
2015-05-02 01:30:00,143
2015-05-02 01:15:00,156
2015-05-02 01:00:00,169
2015-05-02 00:45:00,178
2015-05-02 00:30:00,200
2015-05-02 00:15:00,227
2015-05-02 00:00:00,230
2015-05-01 23:45:00,234
2015-05-01 23:30:00,252
2015-05-01 23:15:00,236
2015-05-01 23:00:00,264
2015-05-01 22:45:00,270
2015-05-01 22:30:00,299
2015-05-01 22:15:00,277
2015-05-01 22:00:00,316
2015-05-01 21:45:00,300
2015-05-01 21:30:00,288
2015-05-01 21:15:00,296
2015-05-01 21:00:00,282
2015-05-01 20:45:00,279
2015-05-01 20:30:00,258
2015-05-01 20:15:00,260
2015-05-01 20:00:00,243
2015-05-01 19:45:00,258
2015-05-01 19:30:00,281
2015-05-01 19:15:00,274
2015-05-01 19:00:00,265
2015-05-01 18:45:00,288
2015-05-01 18:30:00,314
2015-05-01 18:15:00,350
2015-05-01 18:00:00,360
2015-05-01 17:45:00,387
2015-05-01 17:30:00,417
2015-05-01 17:15:00,438
2015-05-01 17:00:00,398
2015-05-01 16:45:00,433
2015-05-01 16:30:00,455
2015-05-01 16:15:00,426
2015-05-01 16:00:00,455
2015-05-01 15:45:00,433
2015-05-01 15:30:00,463
2015-05-01 15:15:00,449
2015-05-01 15:00:00,425
2015-05-01 14:45:00,396
2015-05-01 14:30:00,409
2015-05-01 14:15:00,415
2015-05-01 14:00:00,371
2015-05-01 13:45:00,363
2015-05-01 13:30:00,343
2015-05-01 13:15:00,356
2015-05-01 13:00:00,364
2015-05-01 12:45:00,343
2015-05-01 12:30:00,332
2015-05-01 12:15:00,323
2015-05-01 12:00:00,278
2015-05-01 11:45:00,271
2015-05-01 11:30:00,255
2015-05-01 11:15:00,225
2015-05-01 11:00:00,234
2015-05-01 10:45:00,170
2015-05-01 10:30:00,172
2015-05-01 10:15:00,147
2015-05-01 10:00:00,138
2015-05-01 09:45:00,116
2015-05-01 09:30:00,117
2015-05-01 09:15:00,92
2015-05-01 09:00:00,94
2015-05-01 08:45:00,73
2015-05-01 08:30:00,54
2015-05-01 08:15:00,56
2015-05-01 08:00:00,48
2015-05-01 07:45:00,51
2015-05-01 07:30:00,42
2015-05-01 07:15:00,41
2015-05-01 07:00:00,39
2015-05-01 06:45:00,40
2015-05-01 06:30:00,46
2015-05-01 06:15:00,50
2015-05-01 06:00:00,54
2015-05-01 05:45:00,57
2015-05-01 05:30:00,51
2015-05-01 05:15:00,55
2015-05-01 05:00:00,62
2015-05-01 04:45:00,62
2015-05-01 04:30:00,67
2015-05-01 04:15:00,75
2015-05-01 04:00:00,81
2015-05-01 03:45:00,80
2015-05-01 03:30:00,94
2015-05-01 03:15:00,98
2015-05-01 03:00:00,121
2015-05-01 02:45:00,123
2015-05-01 02:30:00,131
2015-05-01 02:15:00,147
2015-05-01 02:00:00,165
2015-05-01 01:45:00,195
2015-05-01 01:30:00,205
2015-05-01 01:15:00,231
2015-05-01 01:00:00,247
2015-05-01 00:45:00,265
2015-05-01 00:30:00,297
2015-05-01 00:15:00,317
2015-05-01 00:00:00,318
2015-04-30 23:45:00,340
